Using: /mnt/apps/public/COE/synopsys_apps/hspice/S-2021.09/hspice/linux64/hspice  -i '/afs/unity.ncsu.edu/users/s/ssjoseph/ECE546/PROJECT/ece546project/simulation/mylib,top_level_tb,schematic/history_1/simulation/top_level_tb/HSPICE/nominal/netlist/input.spi' -o hspice

0.00% Tran Time= 1.00000e-13s Estimated Time Left:426:11:14       
0.34% Tran Time= 8.76173e-11s Estimated Time Left: 0:33:59        
3.36% Tran Time= 8.61172e-10s Estimated Time Left: 0:03:50        
5.91% Tran Time= 1.51319e-09s Estimated Time Left: 0:02:23        
6.64% Tran Time= 1.70046e-09s Estimated Time Left: 0:02:21        
9.06% Tran Time= 2.31823e-09s Estimated Time Left: 0:01:51        
9.69% Tran Time= 2.48171e-09s Estimated Time Left: 0:01:52        
12.16% Tran Time= 3.11222e-09s Estimated Time Left: 0:01:34        
12.92% Tran Time= 3.30806e-09s Estimated Time Left: 0:01:34        
15.30% Tran Time= 3.91726e-09s Estimated Time Left: 0:01:23        
16.15% Tran Time= 4.13394e-09s Estimated Time Left: 0:01:23        
18.44% Tran Time= 4.72055e-09s Estimated Time Left: 0:01:15        
20.24% Tran Time= 5.18153e-09s Estimated Time Left: 0:01:11        
21.63% Tran Time= 5.53787e-09s Estimated Time Left: 0:01:09        
23.61% Tran Time= 6.04340e-09s Estimated Time Left: 0:01:05        
24.74% Tran Time= 6.33300e-09s Estimated Time Left: 0:01:04        
26.78% Tran Time= 6.85516e-09s Estimated Time Left: 0:01:00        
28.15% Tran Time= 7.20536e-09s Estimated Time Left: 0:00:59        
30.87% Tran Time= 7.90300e-09s Estimated Time Left: 0:00:54        
31.33% Tran Time= 8.01968e-09s Estimated Time Left: 0:00:55        
34.00% Tran Time= 8.70339e-09s Estimated Time Left: 0:00:50        
34.58% Tran Time= 8.85298e-09s Estimated Time Left: 0:00:51        
37.17% Tran Time= 9.51497e-09s Estimated Time Left: 0:00:47        
38.13% Tran Time= 9.76112e-09s Estimated Time Left: 0:00:47        
40.33% Tran Time= 1.03240e-08s Estimated Time Left: 0:00:44        
42.23% Tran Time= 1.08107e-08s Estimated Time Left: 0:00:42        
43.51% Tran Time= 1.11378e-08s Estimated Time Left: 0:00:41        
45.70% Tran Time= 1.17002e-08s Estimated Time Left: 0:00:39        
46.90% Tran Time= 1.20058e-08s Estimated Time Left: 0:00:38        
49.61% Tran Time= 1.27008e-08s Estimated Time Left: 0:00:35        
50.02% Tran Time= 1.28063e-08s Estimated Time Left: 0:00:36        
52.15% Tran Time= 1.33515e-08s Estimated Time Left: 0:00:34        
53.50% Tran Time= 1.36965e-08s Estimated Time Left: 0:00:33        
55.97% Tran Time= 1.43290e-08s Estimated Time Left: 0:00:30        
57.91% Tran Time= 1.48252e-08s Estimated Time Left: 0:00:29        
59.29% Tran Time= 1.51774e-08s Estimated Time Left: 0:00:28        
61.25% Tran Time= 1.56793e-08s Estimated Time Left: 0:00:26        
62.85% Tran Time= 1.60906e-08s Estimated Time Left: 0:00:25        
65.35% Tran Time= 1.67292e-08s Estimated Time Left: 0:00:23        
67.28% Tran Time= 1.72227e-08s Estimated Time Left: 0:00:22        
68.99% Tran Time= 1.76617e-08s Estimated Time Left: 0:00:20        
71.51% Tran Time= 1.83061e-08s Estimated Time Left: 0:00:18        
72.63% Tran Time= 1.85934e-08s Estimated Time Left: 0:00:18        
75.02% Tran Time= 1.92054e-08s Estimated Time Left: 0:00:16        
77.63% Tran Time= 1.98729e-08s Estimated Time Left: 0:00:14        
78.46% Tran Time= 2.00867e-08s Estimated Time Left: 0:00:14        
80.95% Tran Time= 2.07236e-08s Estimated Time Left: 0:00:12        
81.83% Tran Time= 2.09478e-08s Estimated Time Left: 0:00:11        
84.16% Tran Time= 2.15447e-08s Estimated Time Left: 0:00:10        
86.25% Tran Time= 2.20789e-08s Estimated Time Left: 0:00:08        
87.80% Tran Time= 2.24764e-08s Estimated Time Left: 0:00:07        
90.30% Tran Time= 2.31176e-08s Estimated Time Left: 0:00:06        
92.20% Tran Time= 2.36032e-08s Estimated Time Left: 0:00:04        
93.50% Tran Time= 2.39357e-08s Estimated Time Left: 0:00:04        
95.36% Tran Time= 2.44120e-08s Estimated Time Left: 0:00:02        
98.46% Tran Time= 2.52064e-08s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
