Using: /mnt/apps/public/COE/synopsys_apps/hspice/S-2021.09/hspice/linux64/hspice  -i '/afs/unity.ncsu.edu/users/s/ssjoseph/ECE546/PROJECT/ece546project/simulation/project_backup,top_level_tb,schematic/history_1/simulation/top_level_tb/HSPICE/nominal/netlist/input.spi' -o hspice

0.00% Tran Time= 1.00000e-13s Estimated Time Left:108:56:51       
1.38% Tran Time= 9.27518e-11s Estimated Time Left: 0:08:08        
4.69% Tran Time= 3.15000e-10s Estimated Time Left: 0:02:39        
5.53% Tran Time= 3.71317e-10s Estimated Time Left: 0:02:31        
8.04% Tran Time= 5.40284e-10s Estimated Time Left: 0:01:53        
9.53% Tran Time= 6.40145e-10s Estimated Time Left: 0:01:43        
11.44% Tran Time= 7.68711e-10s Estimated Time Left: 0:01:32        
14.10% Tran Time= 9.47460e-10s Estimated Time Left: 0:01:18        
15.02% Tran Time= 1.00920e-09s Estimated Time Left: 0:01:18        
17.40% Tran Time= 1.16959e-09s Estimated Time Left: 0:01:10        
18.93% Tran Time= 1.27234e-09s Estimated Time Left: 0:01:08        
20.88% Tran Time= 1.40304e-09s Estimated Time Left: 0:01:04        
23.51% Tran Time= 1.58018e-09s Estimated Time Left: 0:00:58        
24.39% Tran Time= 1.63929e-09s Estimated Time Left: 0:00:58        
26.89% Tran Time= 1.80706e-09s Estimated Time Left: 0:00:54        
29.42% Tran Time= 1.97683e-09s Estimated Time Left: 0:00:50        
30.43% Tran Time= 2.04461e-09s Estimated Time Left: 0:00:50        
32.96% Tran Time= 2.21458e-09s Estimated Time Left: 0:00:46        
34.39% Tran Time= 2.31113e-09s Estimated Time Left: 0:00:45        
36.31% Tran Time= 2.43971e-09s Estimated Time Left: 0:00:43        
38.79% Tran Time= 2.60642e-09s Estimated Time Left: 0:00:41        
39.82% Tran Time= 2.67580e-09s Estimated Time Left: 0:00:40        
42.31% Tran Time= 2.84339e-09s Estimated Time Left: 0:00:38        
43.77% Tran Time= 2.94107e-09s Estimated Time Left: 0:00:37        
45.64% Tran Time= 3.06685e-09s Estimated Time Left: 0:00:35        
46.96% Tran Time= 3.15571e-09s Estimated Time Left: 0:00:35        
48.71% Tran Time= 3.27362e-09s Estimated Time Left: 0:00:33        
50.11% Tran Time= 3.36716e-09s Estimated Time Left: 0:00:32        
52.23% Tran Time= 3.51015e-09s Estimated Time Left: 0:00:31        
54.76% Tran Time= 3.68000e-09s Estimated Time Left: 0:00:29        
56.25% Tran Time= 3.78000e-09s Estimated Time Left: 0:00:28        
58.01% Tran Time= 3.89839e-09s Estimated Time Left: 0:00:26        
60.30% Tran Time= 4.05242e-09s Estimated Time Left: 0:00:25        
61.78% Tran Time= 4.15173e-09s Estimated Time Left: 0:00:24        
64.28% Tran Time= 4.31955e-09s Estimated Time Left: 0:00:22        
66.76% Tran Time= 4.48605e-09s Estimated Time Left: 0:00:20        
67.86% Tran Time= 4.55990e-09s Estimated Time Left: 0:00:20        
70.43% Tran Time= 4.73300e-09s Estimated Time Left: 0:00:18        
72.01% Tran Time= 4.83898e-09s Estimated Time Left: 0:00:17        
74.23% Tran Time= 4.98806e-09s Estimated Time Left: 0:00:15        
76.72% Tran Time= 5.15543e-09s Estimated Time Left: 0:00:14        
79.28% Tran Time= 5.32730e-09s Estimated Time Left: 0:00:12        
80.54% Tran Time= 5.41218e-09s Estimated Time Left: 0:00:11        
83.09% Tran Time= 5.58382e-09s Estimated Time Left: 0:00:10        
85.62% Tran Time= 5.75389e-09s Estimated Time Left: 0:00:08        
87.25% Tran Time= 5.86341e-09s Estimated Time Left: 0:00:07        
89.28% Tran Time= 5.99958e-09s Estimated Time Left: 0:00:06        
91.75% Tran Time= 6.16529e-09s Estimated Time Left: 0:00:04        
93.01% Tran Time= 6.25061e-09s Estimated Time Left: 0:00:04        
95.59% Tran Time= 6.42383e-09s Estimated Time Left: 0:00:02        
98.53% Tran Time= 6.62095e-09s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
